bb_window,atr_multiplier_scale,max_hold_bars_scale,adx_window,adx_threshold,min_trending_adx,fast_ema,slow_ema,rsi_window,rsi_ob,trend_filter_window,market_sma_window,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
10,0.75,1.5,14,25,40,9,20,14,70,0,100,-0.052,-0.026,-3.8,-11.7,45.5,143,0.573
20,1.5,1.0,14,25,40,9,20,14,70,0,100,-0.056,-0.028,-3.88,-12.0,48.3,120,0.574
10,0.75,0.5,14,25,40,9,20,14,70,0,100,-0.056,-0.026,-3.92,-11.46,41.3,143,0.539
20,1.5,1.5,14,25,40,9,20,14,70,0,100,-0.062,-0.032,-4.07,-12.39,50.8,120,0.566
20,0.75,1.5,14,25,40,9,20,14,70,0,200,-0.062,-0.031,-2.51,-11.74,50.7,142,0.699
20,1.0,0.5,14,25,40,9,20,14,70,0,100,-0.065,-0.029,-4.19,-12.21,40.3,124,0.502
10,1.0,1.5,14,25,40,9,20,14,70,0,100,-0.068,-0.034,-4.29,-11.64,47.1,138,0.531
10,1.0,1.0,14,25,40,9,20,14,70,0,100,-0.068,-0.034,-4.31,-11.59,44.6,139,0.527
20,1.5,1.0,14,25,40,9,20,14,70,0,200,-0.069,-0.036,-2.66,-11.23,54.7,137,0.687
20,1.25,0.5,14,25,40,9,20,14,70,0,100,-0.073,-0.033,-4.41,-12.21,40.8,120,0.485
10,1.25,0.5,14,25,40,9,20,14,70,0,100,-0.073,-0.035,-4.45,-11.61,41.8,134,0.484
10,1.25,1.0,14,25,40,9,20,14,70,0,100,-0.075,-0.037,-4.49,-11.7,46.3,134,0.509
10,1.25,1.5,14,25,40,9,20,14,70,0,100,-0.075,-0.038,-4.49,-11.76,48.1,133,0.509
20,0.75,1.0,14,25,40,9,20,14,70,0,0,-0.078,-0.047,-4.61,-12.05,47.2,229,0.654
20,1.5,1.5,14,25,40,9,20,14,70,0,200,-0.079,-0.043,-2.87,-11.63,56.9,137,0.681
10,1.0,0.5,14,25,40,9,20,14,70,0,100,-0.084,-0.04,-4.8,-11.67,41.0,139,0.473
10,1.5,0.5,14,25,40,9,20,14,70,0,100,-0.084,-0.041,-4.75,-11.72,41.8,134,0.467
20,1.5,0.5,14,25,40,9,20,14,70,0,100,-0.088,-0.041,-4.86,-12.46,40.8,120,0.46
20,1.25,1.0,14,25,40,9,20,14,70,0,0,-0.091,-0.057,-5.0,-11.98,50.7,215,0.635
20,0.75,1.5,14,25,40,9,20,14,70,0,0,-0.093,-0.057,-5.07,-12.5,47.2,229,0.638
20,0.75,0.5,14,25,40,9,20,14,70,0,200,-0.095,-0.044,-3.24,-11.76,44.4,142,0.566
10,1.5,1.5,14,25,40,9,20,14,70,0,100,-0.098,-0.051,-5.17,-12.04,48.1,133,0.473
10,1.5,1.0,14,25,40,9,20,14,70,0,100,-0.099,-0.05,-5.19,-11.96,46.3,134,0.471
20,1.25,1.5,14,25,40,9,20,14,70,0,0,-0.099,-0.064,-5.22,-12.57,51.6,215,0.636
20,1.0,1.0,14,25,40,9,20,14,70,0,0,-0.1,-0.061,-5.28,-11.77,48.9,223,0.621
10,0.75,1.0,14,25,40,9,20,14,70,0,200,-0.103,-0.052,-3.41,-11.27,46.8,156,0.621
10,0.75,1.5,14,25,40,9,20,14,70,0,200,-0.108,-0.055,-3.53,-11.34,48.1,156,0.616
20,1.0,1.5,14,25,40,9,20,14,70,0,0,-0.115,-0.073,-5.73,-12.33,48.9,223,0.609
20,0.75,0.5,14,25,40,9,20,14,70,0,0,-0.119,-0.068,-5.85,-12.25,44.1,229,0.537
10,1.25,1.5,14,25,40,9,20,14,70,0,200,-0.119,-0.063,-3.74,-11.08,52.4,147,0.598
10,1.0,1.5,14,25,40,9,20,14,70,0,200,-0.122,-0.063,-3.82,-11.33,50.7,152,0.598
10,1.0,1.0,14,25,40,9,20,14,70,0,200,-0.128,-0.065,-3.95,-11.28,48.4,153,0.582
20,1.25,0.5,14,25,40,9,20,14,70,0,200,-0.13,-0.062,-3.97,-11.66,45.3,137,0.504
